SQL Server;PostgreSQL
BIGINT;BIGINT
BINARY(n);BYTEA
BIT;BOOLEAN
CHAR(n);CHAR(n)
CHARACTER(n);CHARACTER(n)
DATE;DATE
DATETIME;TIMESTAMP(3)
DATETIME2(p);TIMESTAMP(p)
DATETIMEOFFSET(p);TIMESTAMP(p) WITH TIME ZONE
DEC(p,s);DEC(p,s)
DECIMAL(p,s);DECIMAL(p,s)
DOUBLE PRECISION;DOUBLE PRECISION
FLOAT(p);DOUBLE PRECISION
IMAGE;BYTEA
INT;INT
INTEGER;INTEGER
MONEY;MONEY
NCHAR(n);CHAR(n)
NTEXT;TEXT
NUMERIC(p,s);NUMERIC(p,s)
NVARCHAR(n);VARCHAR(n)
NVARCHAR(max);TEXT
REAL;REAL
ROWVERSION;BYTEA
SMALLDATETIME;TIMESTAMP(0)
SMALLINT;SMALLINT
SMALLMONEY;MONEY
TEXT;TEXT
TIME(p);TIME(p)
TIMESTAMP;BYTEA
TINYINT;SMALLINT
UNIQUEIDENTIFIER;CHAR(16)
VARBINARY(n);BYTEA
VARBINARY(max);BYTEA
VARCHAR(n);VARCHAR(n)
VARCHAR(max);TEXT
XML;XML
