Summeringsnivå 1;Summeringsnivå 2;Summeringsnivå 3;Arbetsplatskod;Arbetsplatsens namn
AL;AL;Anestesikliniken;141550050;Alingsås lasarett,  Anestesiklinike
AL;AL;Anestesikliniken;1415537067;Alingsås lasarett,  Röntgenavdelnin
AL;AL;Kirurg/ortopedkliniken;141550094;Alingsås lasarett,  Kirurg/ortopedk
AL;AL;Kirurg/ortopedkliniken;141550600;Alingsås lasarett, Avdelning 6, Kir
AL;AL;Kirurg/ortopedkliniken;141550800;Alingsås lasarett, Avdelning 8, Ort
AL;AL;Kirurg/ortopedkliniken;141551011;Alingsås lasarett, ÖNH-mottagning
AL;AL;Kirurg/ortopedkliniken;141551012;Alingsås lasarett, Kirurgmottagning
AL;AL;Kirurg/ortopedkliniken;141551013;Alingsås lasarett, Ortopedimottagni
AL;AL;Kirurg/ortopedkliniken;141551014;Alingsås lasarett, Urologimottagnin
AL;AL;Kirurg/ortopedkliniken;141551015;Alingsås lasarett Cytostatikamottag
AL;AL;Kirurg/ortopedkliniken;141551332;Alingsås lasarett,  Gynekologmottag
AL;AL;Klinken för akutmottagning och administration;141551010;Alingsås lasarett, Akutmottagning
AL;AL;Klinken för akutmottagning och administration;141551022;Alingsås lasarett, Nattjouren
AL;AL;Medicinkliniken;141550092;Alingsås lasarett,  Medicinkliniken
AL;AL;Medicinkliniken;141550300;Alingsås lasarett, Avdeling 3, inte
AL;AL;Medicinkliniken;141550500;Alingsås lasarett, Avdelning 5, Hjä
AL;AL;Medicinkliniken;141550700;Alingsås lasarett, Avdelning 7, Med
AL;AL;Medicinkliniken;141550900;Alingsås lasarett, Avdelning 9, Str
AL;AL;Medicinkliniken;141551016;Alingsås lasarett, Palliativt team
AL;AL;Medicinkliniken;141551017;Alingsås lasarett, Diabetesmottagni
AL;AL;Medicinkliniken;141551018;Alingsås lasarett, Gastroenterologm
AL;AL;Medicinkliniken;141551019;Alingsås lasarett, Hematologimottag
AL;AL;Medicinkliniken;141551020;Alingsås lasarett, Hjärtmottagning
AL;AL;Medicinkliniken;141551021;Alingsås lasarett, Reumatologmottag
AL;AL;Medicinkliniken;141553080;ITVA 80+
AL;AL;Medicinkliniken;1415539901;ALingsås lasarett, Närsjukvårdsteam
AL;AL;Utgångna;141551336;Alingsås lasarett,  Ögon-Öron-Hudmo
ANS;ANS;Kvinnokliniken;1438304004;Gynekologimottagning Angereds Närsj
ANS;ANS;Kvinnokliniken;14383041121;Kirurgmottagning
ANS;ANS;Kvinnokliniken;14383041122;Ortopedimottagning
ANS;ANS;Kvinnokliniken;14383041123;Öron-Näsa-Halsmottagning
ANS;ANS;Kvinnokliniken;14383041124;Dagkirurgienhet
ANS;ANS;Medicin;14383040070;Lungmottagning Angereds Närsjukhus
ANS;ANS;Neurologi;1438304005;Neurologimottagning Angereds Närsju
ANS;ANS;Neurologi;1438304103;Psykiatriteamet Angereds Närsjukhus
ANS;ANS;Smärtcentrum;141438304003;Barnspecialistcentrum Angereds Närs
ANS;ANS;Smärtcentrum;1438304002;Medicinmottagning Angereds Närsjukh
ANS;ANS;Smärtcentrum;1438304003;Barnspecialistcentrum Angereds Närs
ANS;ANS;Smärtcentrum;1438304104;Smärtcentrum Angereds Närsjukhus
ANS;ANS;Ungdomsmottagning;1438304006;Ungdomsmottagning Angered
FHV;h_a;Distrikt Avenyn;1414265145;hälsan_arbetslivet, Avenyn
FHV;h_a;Distrikt Fyrbodal;1414265055;Hälsan _ Arbetslivet, Fyrbodal
FHV;h_a;Distrikt Kungsgatan;1414265155;hälsan_arbetslivet, Kungsgatan
FHV;h_a;Distrikt S Älvsborg;1414261854;Hälsan _ Arbetslivet, Södra Älvsbor
FHV;h_a;Distrikt Skaraborg;1414267310;Hälsan _ Arbetslivet, Skaraborg
FHV;h_a;SU;1414265200;Hälsan _ Arbetslivet, Göteborg
FSS;FSS;FSS, Gynekologi;14382958210;Frölunda specialistsjukhus, Gynekol
FSS;FSS;FSS, Hud;14382957310;Frölunda specialistsjukhus, Hud
FSS;FSS;FSS, Kirurgi;14382957610;Frölunda specialistsjukhus, Kirurgi
FSS;FSS;FSS, Medicin;14382957210;Frölunda specialistsjukhus, Medicin
FSS;FSS;FSS, Operation;14382957810;Frölunda specialistsjukhus, Operati
FSS;FSS;FSS, Ortopedi;14382958110;Frölunda specialistsjukhus, Ortoped
FSS;FSS;FSS, Röntgen;14382958810;Frölunda specialistsjukhus, Röntgen
FSS;FSS;FSS, Stödkod;14101000010;Frölunda specialistsjukhus, Stödkod
FSS;FSS;FSS, Ögon;14382958510;Frölunda specialistsjukhus, Ögon
FSS;FSS;FSS, Öron;14382957910;Frölunda specialistsjukhus, Öron
FSS;FSS;Neurologi;14382984;Frölunda specialistsjukhus, Neurolo
FSS;FSS;Neurologi;14705120655;Stig Svensson
